,rgi_id,t_star,mu_star,prcp_fac,bias,err_perc
0,RGI50-11.00793-0,,66.75,2.2500000000000004,1.3702803979045133e-05,-0.02064430239839726
0,RGI50-11.00793-1,,60.5,2.45,0.02862858160652525,-0.9436162369213236
0,RGI50-11.00794-0,,19.5,0.35000000000000003,2.455180746350747e-05,-0.08457037120227398
0,RGI50-11.00794-2,,3.25,0.15000000000000002,0.001263467083637154,-0.6066783095618852
0,RGI50-11.00796,,40.0,0.4500000000000001,0.002940528692300632,-0.4855972231133646
0,RGI50-11.00800,,12.75,0.35000000000000003,0.009756845437473412,-0.6484817845892544
0,RGI50-11.00803-0,,53.5,1.4500000000000004,5.049276325209292e-05,-0.031126313056757823
0,RGI50-11.00803-1,,55.5,1.2500000000000002,2.190451883515764e-05,-0.020501232492895042
0,RGI50-11.00803-2,,10.25,0.4500000000000001,0.007820483323107197,-0.3873735013030221
0,RGI50-11.00804,,0.25,0.05,0.24548136306804802,-3.058399742921735
0,RGI50-11.00809,,5.75,0.35000000000000003,0.001927856672807045,-0.1857333531141279
0,RGI50-11.00813,,39.0,1.1500000000000004,0.013474137209303629,-0.7062433152855665
0,RGI50-11.00817-1,,35.5,0.9500000000000002,0.019482627885497626,-0.7375049372817584
0,RGI50-11.00821-1,,78.5,2.2500000000000004,0.03814754080014556,-1.3032224891102768
0,RGI50-11.00821-2,,61.75,2.35,0.07158969744031347,-1.7852973328617368
0,RGI50-11.00824,,20.5,0.5500000000000002,0.055225649803231365,-1.4039991788505184
0,RGI50-11.00826-0,,7.25,0.15000000000000002,0.0008172534079032249,-0.1075046793110168
0,RGI50-11.00826-1,,39.75,0.7500000000000002,0.06770965651205134,-0.9785303567194201
0,RGI50-11.00827,,28.0,0.6500000000000001,0.0013864848718677179,-0.2868685083459101
0,RGI50-11.00828-0,,76.5,0.7500000000000002,0.013309107394858324,-0.8220400794770796
0,RGI50-11.00828-1,,63.75,1.1500000000000004,0.06493967480840783,-1.8158232918835808
0,RGI50-11.00828-2,,69.0,1.6500000000000004,0.0032301897901773997,-0.4049790412176836
0,RGI50-11.00829,,3.75,0.15000000000000002,0.2279231432874731,-2.4460137787331018
0,RGI50-11.00830,,32.0,1.5500000000000005,0.002955902546009756,-0.2766548577403858
0,RGI50-11.00835,,23.25,0.5500000000000002,0.007223367671082044,-0.5161882631205043
0,RGI50-11.00838,,24.0,0.4500000000000001,3.217804248578994e-05,-0.04821563367600614
0,RGI50-11.00842,,11.5,0.2500000000000001,0.00542299928871207,-0.941700976312418
0,RGI50-11.00843-0,,34.25,1.1500000000000004,0.0003915749316633242,-0.1412034562941383
0,RGI50-11.00843-1,,13.0,0.35000000000000003,0.0026267239723994674,-0.3657169638666453
0,RGI50-11.00843-2,,55.25,2.1500000000000004,0.00012381067463224156,-0.07939934721252005
0,RGI50-11.00843-3,,56.5,1.5500000000000005,8.75177935437428e-05,-0.06675534839094177
0,RGI50-11.00843-4,,9.25,0.2500000000000001,0.3303268354924074,-4.101189296661965
0,RGI50-11.00848,,7.75,0.2500000000000001,0.0024393778481718964,-0.25485066146348245
0,RGI50-11.00850-0,,67.0,1.2500000000000002,6.318415464123383e-06,-0.017147457882358347
0,RGI50-11.00850-1,,58.0,1.5500000000000005,0.00498710786735088,-0.4817481283545579
0,RGI50-11.00857,,14.0,0.2500000000000001,0.11138937234529182,-2.2227803142682667
0,RGI50-11.00858,,37.25,0.7500000000000002,0.0002401366670518108,-0.10156208983611796
0,RGI50-11.00861,,15.0,0.2500000000000001,0.0008069807852604059,-0.19895928859249384
0,RGI50-11.00867-0,,51.5,0.6500000000000001,0.00021305184044561316,-0.0970885688152098
0,RGI50-11.00867-1,,67.75,1.1500000000000004,0.01629977809087026,-0.849212347225323
0,RGI50-11.00868,,64.5,0.9500000000000002,0.004237770643499652,-0.2492845278335888
0,RGI50-11.00869,,9.5,0.2500000000000001,0.0034714228635041072,-0.2953766577671665
0,RGI50-11.00870-0,,51.75,1.1500000000000004,0.002669453927462876,-0.33441267597237073
0,RGI50-11.00870-1,,50.0,0.6500000000000001,4.722141959984676e-09,-0.0004447756834795318
0,RGI50-11.00872,,8.75,0.35000000000000003,0.8561405907326534,-4.829220541340751
0,RGI50-11.00878,,41.5,0.9500000000000002,0.0366789004204735,-1.0595118567988766
0,RGI50-11.00880,,77.5,2.35,0.007622990555438023,-0.6567604872770904
0,RGI50-11.00884-0,,53.0,0.2,0.0004037802572190583,-0.06834325621641857
0,RGI50-11.00884-1,,62.75,0.5500000000000002,0.0017886832239862938,-0.14384336813322787
